well,block,test_temperature,strain,evolution_history,window_idx,days_start,days_end,mu,r_squared,window_size
b11,2,41,35_D8,35 evolved,30,0.3020833333333333,0.34375,7.998518753399751,0.9991873988638778,5
b11,2,42,35_D8,35 evolved,23,0.22916666666666663,0.2708333333333333,3.700573504949111,0.9874298044842499,5
b11,3,25,40_G5,40 evolved,41,0.4166666666666667,0.4583333333333333,8.036895362785842,0.999845922753421,5
b11,3,35,40_G5,40 evolved,24,0.23958333333333337,0.28125,11.906891112710632,0.9999239770285158,5
b11,3,38,40_G5,40 evolved,24,0.23958333333333337,0.28125,12.53926638888731,0.9995972137807518,5
b11,3,41,40_G5,40 evolved,33,0.3333333333333333,0.375,8.189124731777362,0.9993525861836161,5
b11,3,42,40_G5,40 evolved,25,0.25,0.2916666666666667,3.5760321172619354,0.9948948038339418,5
b2,2,25,35_E9,35 evolved,37,0.375,0.4166666666666667,8.26199826537331,0.999875468489094,5
b2,2,35,35_E9,35 evolved,25,0.25,0.2916666666666667,17.624845025729318,0.9994003063379794,5
b2,2,38,35_E9,35 evolved,22,0.21875,0.2604166666666667,13.888262066698195,0.9999500783299166,5
b2,2,41,35_E9,35 evolved,25,0.25,0.2916666666666667,5.8739194770688234,0.9993248936291248,5
b2,2,42,35_E9,35 evolved,67,0.6875,0.7291666666666666,3.4789918886567763,0.4402510204470974,5
b2,3,25,40_B6,40 evolved,40,0.40625,0.4479166666666667,8.164154180989112,0.9999490234294736,5
b2,3,35,40_B6,40 evolved,25,0.25,0.2916666666666667,11.770165058247134,0.9999443123917736,5
b2,3,38,40_B6,40 evolved,22,0.21875,0.2604166666666667,12.378285078592246,0.9999404776988554,5
b2,3,41,40_B6,40 evolved,42,0.4270833333333333,0.46875,15.286352002194478,0.7656679897861136,5
b2,3,42,40_B6,40 evolved,27,0.2708333333333333,0.3125,2.3613163650414095,0.9922773749965792,5
b3,1,25,fRS585,fRS585,35,0.3541666666666667,0.3958333333333333,8.518961845346036,0.9999425621656732,5
b3,1,35,fRS585,fRS585,20,0.19791666666666663,0.23958333333333337,13.61737921099603,0.999941743194764,5
b3,1,38,fRS585,fRS585,21,0.20833333333333337,0.25,13.587973566836668,0.9998449219510976,5
b3,1,41,fRS585,fRS585,22,0.21875,0.2604166666666667,5.8957816340344396,0.9995884264641196,5
b3,1,42,fRS585,fRS585,23,0.22916666666666663,0.2708333333333333,2.5323618973486504,0.9962239072130352,5
b3,2,25,40_E9,40 evolved,39,0.3958333333333333,0.4375,8.149719206156185,0.9999746122363703,5
b3,2,35,40_E9,40 evolved,24,0.23958333333333337,0.28125,11.384228168805903,0.999998842687748,5
b3,2,38,40_E9,40 evolved,23,0.22916666666666663,0.2708333333333333,12.27093052513645,0.9998717000585294,5
b3,2,41,40_E9,40 evolved,28,0.28125,0.3229166666666667,7.815097908937257,0.9999979423105085,5
b3,2,42,40_E9,40 evolved,25,0.25,0.2916666666666667,3.262123863493263,0.99891087159594,5
b3,3,25,fRS585,fRS585,34,0.34375,0.3854166666666667,8.528856632725207,0.9999276187018588,5
b3,3,35,fRS585,fRS585,22,0.21875,0.2604166666666667,13.092790041512908,0.9999799181646651,5
b3,3,38,fRS585,fRS585,22,0.21875,0.2604166666666667,13.69090763118449,0.9997998679825267,5
b3,3,41,fRS585,fRS585,24,0.23958333333333337,0.28125,6.267201682515227,0.9995484094867946,5
b3,3,42,fRS585,fRS585,18,0.17708333333333334,0.21875,2.305568088752188,0.9965338352823011,5
b4,1,25,WT_CASP_2,Caspofungin evolved,32,0.3229166666666667,0.3645833333333333,8.62985209797626,0.999948484346333,5
b4,1,35,WT_CASP_2,Caspofungin evolved,19,0.1875,0.22916666666666663,14.623736540923117,0.9976568137751611,5
b4,1,38,WT_CASP_2,Caspofungin evolved,28,0.28125,0.3229166666666667,18.963783201267116,0.8742722344430843,5
b4,1,41,WT_CASP_2,Caspofungin evolved,30,0.3020833333333333,0.34375,7.652878695336357,0.9997237744291033,5
b4,1,42,WT_CASP_2,Caspofungin evolved,24,0.23958333333333337,0.28125,3.4357787110796534,0.9991850023155636,5
b4,2,25,40_G11,40 evolved,35,0.3541666666666667,0.3958333333333333,8.008133117761348,0.9997835283898718,5
b4,2,35,40_G11,40 evolved,22,0.21875,0.2604166666666667,13.493198562573635,0.9999531776890065,5
b4,2,38,40_G11,40 evolved,22,0.21875,0.2604166666666667,13.45592931162669,0.9999101859438986,5
b4,2,41,40_G11,40 evolved,28,0.28125,0.3229166666666667,8.447509905831929,0.999830335549536,5
