population,evolution_history,rep,set,drug,month,ic50,bot,top,slope,converged,ic50_anc,log_ratio
40_E11,40 evolved,Rep1,Set2,caspofungin,January,0.027833760713640195,6.399972106539649e-4,0.9264666827348097,33.88544735289431,TRUE,0.029216091852601853,-0.06992735688677154
40_E11,40 evolved,Rep1,Set4,amphotericin,March,0.4284960246653115,0,0.9382434460442601,11.26857199973043,TRUE,0.3533011628962256,0.2783833220324472
40_E11,40 evolved,Rep1,Set4,caspofungin,March,0.014453274874923412,0,0.7741509674035899,5.924799984066215,TRUE,0.014057203970631427,0.04008675517263249
40_E11,40 evolved,Rep1,Set4,fluconazole,March,15.25266757548315,0.08718492149023133,0.903327263625041,3.2811350274487663,TRUE,12.072223355682658,0.3373701777068465
40_E11,40 evolved,Rep2,Plate2,fluconazole,February,23.730485126309727,0.05012461117429763,0.8893428674994058,2.08433115543693,TRUE,25.37501987539926,-0.09666735822136552
40_E11,40 evolved,Rep2,Set2,amphotericin,January,1.900673090431704,0.0016666641432067208,0.9571874978135374,26.51007628143493,TRUE,1.4864912448699976,0.35459944839378876
40_E11,40 evolved,Rep2,Set2,caspofungin,January,0.020399371572776957,8.066023782060262e-4,1.0216842901165404,5.688117334811731,TRUE,0.01982610951875311,0.041123103905216674
40_E11,40 evolved,Rep2,Set4,amphotericin,March,0.4682084698474084,0,0.9484333320755071,29.14971964415677,TRUE,0.33397371289648337,0.48741648040362073
40_E11,40 evolved,Rep2,Set4,caspofungin,March,0.012712000086524568,0,0.9543985549314341,2.529071014333813,TRUE,0.006070431213365576,1.0663201324753366
40_E11,40 evolved,Rep2,Set4,fluconazole,March,19.58222557678456,0.06602323093708669,0.926685199104942,2.5572251350931774,TRUE,14.598948352718006,0.4236802936180575
40_E11,40 evolved,Rep3,Plate2,fluconazole,February,38.31505022352176,0.05317084208363077,0.9830224397576643,2.9877013066137312,TRUE,13.985027034470253,1.4540281541017595
40_E11,40 evolved,Rep3,Set2,amphotericin,January,1.8242896707177807,0.0014666599693321934,0.9516125125788316,27.144652070564945,TRUE,1.2329562615471157,0.5652132048952193
40_E11,40 evolved,Rep3,Set2,caspofungin,January,0.028752895160903437,5.599971749343005e-4,0.8072500000588528,26.685924025814106,TRUE,0.026636431188687797,0.11030643023148023
40_E11,40 evolved,Rep3,Set4,amphotericin,March,0.021403830416442334,0,1.3150101902351186,0.39912635752271713,TRUE,0.25070037416607605,-3.5500232407024566
40_E11,40 evolved,Rep3,Set4,caspofungin,March,0.014509501608041568,0,0.8266000030790549,29.350802724832818,TRUE,0.016425933839836322,-0.178977427713785
40_E11,40 evolved,Rep3,Set4,fluconazole,March,25.546184944029687,0.08162206336148074,0.7840275078016775,2.71056289668723,TRUE,18.1951363365597,0.48955499444316253
40_E7,40 evolved,Rep1,Plate2,fluconazole,February,36.22777119461067,0.05665716300867983,0.9881802443107491,2.0672332213230757,TRUE,31.271295784971084,0.21225704973444426
40_E7,40 evolved,Rep1,Set2,amphotericin,January,1.5410839356611763,0,1.0528618746576,2.4613021067140393,TRUE,1.3753228970719913,0.16417506782079938
40_E7,40 evolved,Rep1,Set2,caspofungin,January,0.03410288946955843,0,0.8896444193730288,8.639906239612772,TRUE,0.029216091852601853,0.22313077495374234
40_E7,40 evolved,Rep1,Set4,amphotericin,March,0.49188459715948946,0,0.9380999892846635,26.584324473117263,TRUE,0.3533011628962256,0.47742138142572044
40_E7,40 evolved,Rep1,Set4,caspofungin,March,0.016201681028316303,0,0.8126799901159828,26.20535763541097,TRUE,0.014057203970631427,0.20483384412313121
40_E7,40 evolved,Rep1,Set4,fluconazole,March,23.244671068124926,0,0.8683570228770116,0.819363242204012,TRUE,12.072223355682658,0.9452086072200543
40_E7,40 evolved,Rep2,Plate2,fluconazole,February,26.9841654781586,0.0813664777727857,0.9875011883810246,2.7513929343954775,TRUE,25.37501987539926,0.08870411839084724
40_E7,40 evolved,Rep2,Set2,amphotericin,January,1.9509868592884483,0.0011999914962299973,1.0068250043650533,24.76576668196257,TRUE,1.4864912448699976,0.39229309473457585
40_E7,40 evolved,Rep2,Set4,amphotericin,March,0.376293255527177,0,1.0582813779264555,2.5184761447859816,TRUE,0.33397371289648337,0.17212287906645818
40_E7,40 evolved,Rep2,Set4,caspofungin,March,0.02323246043134515,0,1.1203560977769809,6.33680465632289,TRUE,0.006070431213365576,1.936271043565049
40_E7,40 evolved,Rep2,Set4,fluconazole,March,18.241443425555147,0.10330204475374818,0.9438622647535211,2.1916586546189607,TRUE,14.598948352718006,0.3213554457856902
40_E7,40 evolved,Rep3,Plate2,fluconazole,February,28.025170786616606,0.09104997091043268,0.9517426719678911,3.639874977028346,TRUE,13.985027034470253,1.002840122212096
40_E7,40 evolved,Rep3,Set2,amphotericin,January,1.6553416140007997,0,0.9727427290843336,5.98099293936707,TRUE,1.2329562615471157,0.42500735591114447
40_E7,40 evolved,Rep3,Set2,caspofungin,January,0.025432711053825167,0,0.9728301544541315,5.6768337476762225,TRUE,0.026636431188687797,-0.06671554233752719
40_E7,40 evolved,Rep3,Set4,caspofungin,March,0.016775942108229136,4.8332906656276697e-4,0.8869999868563029,27.880859346614063,TRUE,0.016425933839836322,0.030418395655912533
40_E7,40 evolved,Rep3,Set4,fluconazole,March,16.086159378118072,0.12876309916534134,0.7013623022745767,2.968460427695153,TRUE,18.1951363365597,-0.17773294223673908
40_E9,40 evolved,Rep1,Plate2,fluconazole,February,2.4937096960273952,0,1.3891752196446734,0.46650915985666314,TRUE,31.271295784971084,-3.6484735718541303
40_E9,40 evolved,Rep1,Set2,amphotericin,January,1.587292680814537,0,1.0033477369215653,3.4834753068285287,TRUE,1.3753228970719913,0.20679779811657295
40_E9,40 evolved,Rep1,Set2,caspofungin,January,0.014634962610865242,0,1.0359131523263505,2.3793751775174896,TRUE,0.029216091852601853,-0.9973441461568218
40_E9,40 evolved,Rep2,Plate2,fluconazole,February,22.883559812712008,0.009530922982988618,0.8821603897188001,2.9750894236531242,TRUE,25.37501987539926,-0.14909745418841247
40_E9,40 evolved,Rep2,Set2,amphotericin,January,1.487707099325531,0,1.0186714048318293,2.891104567368633,TRUE,1.4864912448699976,0.0011795496386974857
40_E9,40 evolved,Rep2,Set2,caspofungin,January,0.019528223336904967,0,0.9992487019725473,6.071134239451215,TRUE,0.01982610951875311,-0.02184090513326975
40_E9,40 evolved,Rep3,Plate2,fluconazole,February,25.307274493033443,0.01990401204756015,0.8748058072553923,6.484821448972325,TRUE,13.985027034470253,0.85566909979751
40_E9,40 evolved,Rep3,Set2,amphotericin,January,1.2895015448889593,0,1.0247483019699457,3.5748367494573063,TRUE,1.2329562615471157,0.06469187972430601
40_E9,40 evolved,Rep3,Set2,caspofungin,January,0.01881002588877793,2.005567757447214e-4,0.903336253400905,11.844894273424389,TRUE,0.026636431188687797,-0.5018989652182801
40_F2,40 evolved,Rep1,Plate3,fluconazole,February,37.38887279303444,0.024019829728159567,0.8975978397037722,8.414525892980368,TRUE,25.58892650166962,0.5470893520294426
40_F2,40 evolved,Rep1,Set3,amphotericin,January,1.2016928463655088,0,0.9061871511091233,3.8128606781508085,TRUE,1.5417026309923771,-0.3594563308265037
