time,well,OD,treatment,test_temperature
62645.6,B11,0.07100000232458115,blank,41
62645.6,B12,0.07050000131130219,blank,41
62645.6,C1,0.05270000174641609,water,41
62645.6,C2,0.051100000739097595,water,41
62645.6,C3,0.05209999904036522,water,41
62645.6,C4,0.05130000039935112,water,41
62645.6,C5,0.05270000174641609,water,41
62645.6,C6,0.052000001072883606,water,41
62645.6,C7,0.051100000739097595,water,41
62645.6,C8,0.05380000174045563,water,41
62645.6,C9,0.052400000393390656,water,41
62645.6,C10,0.05220000073313713,water,41
62645.6,C11,0.05009999871253967,water,41
62645.6,C12,0.05209999904036522,water,41
62645.6,D1,0.05209999904036522,water,41
62645.6,D2,0.052000001072883606,water,41
62645.6,D3,0.05119999870657921,water,41
62645.6,D4,0.050999999046325684,water,41
62645.6,D5,0.050700001418590546,water,41
62645.6,D6,0.050999999046325684,water,41
62645.6,D7,0.05139999836683273,water,41
62645.6,D8,0.052000001072883606,water,41
62645.6,D9,0.052400000393390656,water,41
62645.6,D10,0.051600001752376556,water,41
62645.6,D11,0.050999999046325684,water,41
62645.6,D12,0.05050000175833702,water,41
62645.6,E1,0.052400000393390656,water,41
62645.6,E2,0.050700001418590546,water,41
62645.6,E3,0.051500000059604645,water,41
62645.6,E4,0.05130000039935112,water,41
62645.6,E5,0.051100000739097595,water,41
62645.6,E6,0.05090000107884407,water,41
62645.6,E7,0.05180000141263008,water,41
62645.6,E8,0.050999999046325684,water,41
62645.6,E9,0.051100000739097595,water,41
62645.6,E10,0.0502999983727932,water,41
62645.6,E11,0.050999999046325684,water,41
62645.6,E12,0.05079999938607216,water,41
62645.6,F1,0.053300000727176666,water,41
62645.6,F2,0.05139999836683273,water,41
62645.6,F3,0.051500000059604645,water,41
62645.6,F4,0.05220000073313713,water,41
62645.6,F5,0.051500000059604645,water,41
62645.6,F6,0.05090000107884407,water,41
62645.6,F7,0.0502999983727932,water,41
62645.6,F8,0.05260000005364418,water,41
62645.6,F9,0.05090000107884407,water,41
62645.6,F10,0.051600001752376556,water,41
62645.6,F11,0.051899999380111694,water,41
62645.6,F12,0.051100000739097595,water,41
62645.6,G1,0.052400000393390656,water,41
62645.6,G2,0.05090000107884407,water,41
62645.6,G3,0.05180000141263008,water,41
62645.6,G4,0.05119999870657921,water,41
62645.6,G5,0.05090000107884407,water,41
62645.6,G6,0.05000000074505806,water,41
62645.6,G7,0.050599999725818634,water,41
62645.6,G8,0.05090000107884407,water,41
62645.6,G9,0.052400000393390656,water,41
62645.6,G10,0.05249999836087227,water,41
62645.6,G11,0.05079999938607216,water,41
62645.6,G12,0.05139999836683273,water,41
62645.6,H1,0.052799999713897705,water,41
62645.6,H2,0.051500000059604645,water,41
63624.5,A1,0.1006999984383583,fRS585,41
63624.5,A2,0.094200000166893,fRS585,41
63624.5,A3,0.08940000087022781,fRS585,41
63624.5,A4,0.09139999747276306,fRS585,41
63624.5,A5,0.08839999884366989,fRS585,41
63624.5,A6,0.08659999817609787,fRS585,41
63624.5,A7,0.08749999850988388,fRS585,41
63624.5,A8,0.08969999849796295,fRS585,41
63624.5,A9,0.09070000052452087,fRS585,41
63624.5,A10,0.09849999845027924,fRS585,41
63624.5,A11,0.09709999710321426,fRS585,41
63624.5,A12,0.12030000239610672,fRS585,41
63624.5,B1,0.06759999692440033,blank,41
63624.5,B2,0.06939999759197235,blank,41
