well,block,test_temperature,strain,evolution_history,mu,best_model,se,R2,n_obs
d2,2,42,40_C9,40 evolved,NA,lagsat,NA,NA,NA
d3,2,42,35_D8,35 evolved,2.6296052547533764,lagsat,0.10798843560207595,0.9728920259831989,44
d4,2,42,35_D8,35 evolved,2.4641017075295064,lagsat,0.1017882894591287,0.9716800886542826,43
d5,2,42,40_E9,40 evolved,2.2228146388032983,lagsat,0.0329579952567598,0.9953564957673116,54
d6,2,42,35_G9,35 evolved,NA,lagsat,NA,NA,NA
d8,2,42,40_C9,40 evolved,2.475652035131906,lagsat,0.025872457963005115,0.9974493721345138,53
d9,2,42,40_C9,40 evolved,2.6555869502460885,lagsat,0.0332445346449849,0.9962633444791436,54
d10,2,42,35_E9,35 evolved,NA,lagsat,NA,NA,NA
d11,2,42,40_B2,40 evolved,3.736158199094465,lagsat,0.027048653261470254,0.9979258839152723,85
e3,2,42,35_C7,35 evolved,NA,lagsat,NA,NA,NA
e8,2,42,35_C7,35 evolved,3.0114891672194477,lagsat,0.10460214863565988,0.9750919989398624,42
e9,2,42,35_B2,35 evolved,NA,lagsat,NA,NA,NA
e11,2,42,40_E11,40 evolved,2.871241781640766,lagsat,0.03467152552936851,0.9971112203010268,51
f2,2,42,35_F6,35 evolved,1.6550901152245543,lagsat,0.07954011215475526,0.9574714238216963,44
f3,2,42,40_F4,40 evolved,NA,lagsat,NA,NA,NA
f4,2,42,40_G11,40 evolved,NA,lagsat,NA,NA,NA
f5,2,42,40_B2,40 evolved,2.554039405440839,lagsat,0.03217865896920886,0.9925416578574022,87
f7,2,42,40_F4,40 evolved,NA,lagsat,NA,NA,NA
f8,2,42,35_G9,35 evolved,1.6628021757865374,lagsat,0.07525358463783749,0.9637669430142479,43
f9,2,42,35_F6,35 evolved,1.4905662642373594,lagsat,0.05135425593843926,0.9637263858081297,45
f11,2,42,35_B2,35 evolved,2.0297293700532952,lagsat,0.08054736617796328,0.9707431774640299,44
g3,2,42,35_G9,35 evolved,1.6833591346979655,lagsat,0.07730427995897159,0.964356276832904,44
g5,2,42,40_F4,40 evolved,NA,lagsat,NA,NA,NA
g6,2,42,35_F6,35 evolved,1.5340632912057885,lagsat,0.06861886387126365,0.9585894787487472,43
g8,2,42,35_E9,35 evolved,NA,lagsat,NA,NA,NA
b2,2,41,35_E9,35 evolved,4.194238172898672,lagsat,0.05301213393018939,0.994209068229146,76
b3,2,41,40_E9,40 evolved,NA,lagsat,NA,NA,NA
b4,2,41,40_G11,40 evolved,7.260915979786271,lagsat,0.06749435860745738,0.998281503936741,56
b5,2,41,40_E11,40 evolved,6.528030206677207,lagsat,0.05410278538182784,0.998490192899693,59
b8,2,41,35_B2,35 evolved,5.717702879917897,lagsat,0.04806643221230003,0.9982686341194746,65
b11,2,41,35_D8,35 evolved,6.903266089433474,lagsat,0.05899020567959192,0.9985267258781348,57
c2,2,41,40_B2,40 evolved,6.546752154876815,lagsat,0.06126088227910695,0.9981229039869204,59
c3,2,41,40_G11,40 evolved,8.035739582802963,lagsat,0.08672771857553513,0.9980662350493545,51
c4,2,41,40_E11,40 evolved,6.553142507243445,lagsat,0.05830902074548436,0.9982399796989049,59
c5,2,41,40_E9,40 evolved,5.95793073167625,lagsat,0.048452923591478736,0.9983604028051142,63
